episode_id,block_index,prediction,actual,confidence,context_order,selected,intent_hit
0,1,000000:1:1,000000:1:0,0.22164308761479276,1,False,False
0,2,000000:1:1,000000:2:1,0.2727272727272727,2,False,False
0,3,000000:1:1,000000:1:1,0.36363636363636365,3,False,True
0,4,000000:1:1,000800:2:0,0.2826086956521739,3,False,False
0,5,008800:1:0,002800:1:1,1.0,3,False,False
0,6,000800:1:1,008800:2:1,0.4,2,False,False
0,7,008800:1:1,000000:1:1,0.24838012958963282,1,False,False
1,1,000000:1:1,000000:2:0,0.1552357624004899,1,False,False
1,2,000000:1:1,000800:2:0,0.16605166051660517,2,False,False
1,3,000000:1:1,000800:2:2,0.2,3,False,False
1,4,000800:0:1,000800:2:2,1.0,3,False,False
1,5,000800:0:2,000800:1:1,0.5,3,False,False
1,6,000800:0:0,080000:1:1,0.375,3,False,False
1,7,000000:0:0,080000:1:2,1.0,3,False,False
2,1,000000:1:1,000000:1:1,0.6074249946039283,1,False,True
2,2,000000:1:1,000000:1:2,0.7444817486963354,2,False,False
2,3,000000:1:1,080000:1:0,0.4168336673346693,3,False,False
2,4,000000:1:1,080000:1:1,0.25,3,False,False
2,5,080000:1:1,000000:1:2,0.45454545454545453,3,False,False
2,6,000000:1:1,000000:1:2,0.19047619047619047,3,False,False
2,7,000000:1:1,080000:1:1,0.3076923076923077,3,False,False
3,1,000000:1:1,000000:1:1,0.6074249946039283,1,False,True
3,2,000000:1:1,000000:1:1,0.7444817486963354,2,False,True
3,3,000000:1:1,000000:1:1,0.8252146233240089,3,False,True
3,4,000000:1:1,000000:1:1,0.8252146233240089,3,False,True
3,5,000000:1:1,000000:1:1,0.8252146233240089,3,False,True
3,6,000000:1:1,000000:2:2,0.8252146233240089,3,False,False
3,7,000000:1:1,000000:0:0,0.23423423423423423,3,False,False
4,1,080000:1:1,080000:0:1,0.28091603053435116,1,False,False
4,2,080000:1:1,080000:0:1,0.2889908256880734,2,False,False
4,3,080000:1:1,080000:1:0,0.3333333333333333,3,False,False
4,4,080000:1:0,080000:1:1,0.25,3,False,False
4,5,080000:1:1,080000:0:1,0.4,3,False,False
4,6,080000:1:1,080000:1:1,0.375,3,False,True
4,7,080000:1:1,080000:1:1,0.2846715328467153,3,False,True
5,1,000000:1:1,000800:0:1,0.1552357624004899,1,False,False
5,2,000800:1:1,080000:1:1,0.13333333333333333,2,False,False
5,3,080000:1:1,080000:1:1,0.2222222222222222,2,False,True
5,4,080000:1:0,080000:1:1,0.5,3,False,False
5,5,080000:1:1,080000:1:1,0.6108657243816255,3,False,True
5,6,080000:1:1,080000:1:1,0.6108657243816255,3,False,True
5,7,080000:1:1,080000:1:2,0.6108657243816255,3,False,False
6,1,080000:1:1,080000:1:0,0.29647283126787416,1,False,False
6,2,080000:1:2,080000:1:1,0.5280612244897959,2,False,False
6,3,080000:1:1,080000:1:2,0.3167701863354037,3,False,False
6,4,080000:1:1,080000:1:0,0.38461538461538464,3,False,False
6,5,080000:1:1,080000:1:1,0.3081761006289308,3,False,True
6,6,080000:1:1,080000:1:2,0.3167701863354037,3,False,False
6,7,080000:1:1,080000:1:0,0.38461538461538464,3,False,False
7,1,000000:1:1,020800:2:2,0.6074249946039283,1,False,False
7,2,003000:1:2,020800:1:1,0.16666666666666666,2,False,False
7,3,020800:0:0,020800:2:1,1.0,3,False,False
